track_name,album_name,artist_name,ms_played
Paper Together (feat. UGK),MEGAN,Megan Thee Stallion,215802
Spin (feat. Victoria Monét),MEGAN,Megan Thee Stallion,187794
Moody Girl,MEGAN,Megan Thee Stallion,167529
Freaky Girls (feat. SZA),Good News,Megan Thee Stallion,166906
Big Ole Freak,Tina Snow,Megan Thee Stallion,214850
Mad (feat. Lil Wayne),A Seat at the Table,Solange,235493
Captain Hook,Suga,Megan Thee Stallion,176749
Spin (feat. Victoria Monét),MEGAN,Megan Thee Stallion,187794
Down Stairs DJ,MEGAN,Megan Thee Stallion,7835
Co-Star,Fountain Baby,Amaarae,152183
Where Them Girls At,MEGAN,Megan Thee Stallion,191711
Spin (feat. Victoria Monét),MEGAN,Megan Thee Stallion,187794
Paper Together (feat. UGK),MEGAN,Megan Thee Stallion,215802
Mamushi (feat. Yuki Chiba),MEGAN,Megan Thee Stallion,156988
Moody Girl,MEGAN,Megan Thee Stallion,167529
8,CRASH,Kehlani,150262
Broke His Heart,MEGAN,Megan Thee Stallion,6229
B.A.S. (feat. Kyle Richh),MEGAN,Megan Thee Stallion,206461
Otaku Hot Girl,MEGAN,Megan Thee Stallion,158663
Otaku Hot Girl,MEGAN,Megan Thee Stallion,47169
Good At,Tina Snow,Megan Thee Stallion,230646
Wanna Be (with Megan Thee Stallion),Ehhthang Ehhthang,GloRilla,156444
God Body (feat. Smino),Candydrip,Lucky Daye,3748
Freaky Girls (feat. SZA),Good News,Megan Thee Stallion,166906
2 On (feat. ScHoolboy Q),Aquarius,Tinashe,227000
Tomorrow 2 (with Cardi B),"Anyways, Life’s Great…",GloRilla,209811
OKAY,OKAY,JT,164074
Rake It Up (feat. Nicki Minaj),I Still Am,Yo Gotti,276333
3500 (feat. Future & 2 Chainz),Rodeo,Travis Scott,461840
PMW (All I Really Need) (feat. ScHoolboy Q),LONG.LIVE.A$AP (Deluxe Version),A$AP Rocky,234773
Ric Flair Drip (with Metro Boomin),Without Warning,Offset,172800
Handsome And Wealthy,No Label II,Migos,210556
Freak Hoe,DS2 - Deluxe,Future,174733
Fight Night,No Label II,Migos,216247
Kelly Price (feat. Travis Scott),Culture,Migos,363934
lose,Birds In The Trap Sing McKnight,Travis Scott,200452
Losing You,Losing You,Solange,260399
Needs,BB/ANG3L,Tinashe,146791
Stormy Weather,Songs For You,Tinashe,189786
Talk To Me Nice,BB/ANG3L,Tinashe,229844
Let Me Down Slowly,333,Tinashe,185777
Rock The Boat,Aaliyah,Aaliyah,274733
Bury me (feat. Kelela),Heaven knows,PinkPantheress,124613
DON'T JEALOUS ME,The Lion King: The Gift,Tekno,155990
ALREADY,The Lion King: The Gift,Beyoncé,222529
Echo,Submarine,The Marías,209426
Ring of Past,Ring of Past,Men I Trust,201523
Body Do,In Pieces,Chlöe,140197
Turn It Off,Brand New Eyes,Paramore,259720
Still into You,Paramore,Paramore,216013
Rose-Colored Boy,After Laughter,Paramore,212853
Pool,After Laughter,Paramore,232786
Hard Times,After Laughter,Paramore,182693
PMW (All I Really Need) (feat. ScHoolboy Q),LONG.LIVE.A$AP (Deluxe Version),A$AP Rocky,12147
"Big Man, Little Dignity",This Is Why,Paramore,260384
Cliffs of Dover,Guitar Hits,Tamás Szekeres,250133
Get Me Bodied - Extended Mix,B'Day Deluxe Edition,Beyoncé,379120
Muñekita (with El Alfa & JT),ORQUÍDEAS,Kali Uchis,219642
Anaconda,The Pinkprint,Nicki Minaj,260240
ReYup (feat. Spodee),3 Live Krew,Travis Porter,135627
Back That Azz Up,400 Degreez,JUVENILE,265599
No Hands (feat. Roscoe Dash & Wale),Flockaveli,Waka Flocka Flame,275912
After Hours,After Hours,Kehlani,5021
Where Them Girls At,MEGAN,Megan Thee Stallion,191711
Spin (feat. Victoria Monét),MEGAN,Megan Thee Stallion,187794
Paper Together (feat. UGK),MEGAN,Megan Thee Stallion,215802
Accent (feat. GloRilla),MEGAN,Megan Thee Stallion,199741
Shake Dat Ass (Twerk Song),Too Slippery,BossMan Dlow,196442
Broke His Heart,MEGAN,Megan Thee Stallion,1394
Rake It Up (feat. Nicki Minaj),I Still Am,Yo Gotti,276333
Good At,Tina Snow,Megan Thee Stallion,230646
Big Ole Freak,Tina Snow,Megan Thee Stallion,214850
ReYup (feat. Spodee),3 Live Krew,Travis Porter,135627
Bottoms Up (feat. Nicki Minaj),"Passion, Pain & Pleasure",Trey Songz,242013
Back That Azz Up,400 Degreez,JUVENILE,265600
Rich Baby Daddy (feat. Sexyy Red & SZA),For All The Dogs,Drake,249424
Captain Hook,Suga,Megan Thee Stallion,176749
Freak Nasty,Tina Snow,Megan Thee Stallion,173798
Tomorrow 2 (with Cardi B),"Anyways, Life’s Great…",GloRilla,9849
Bottoms Up (feat. Nicki Minaj),"Passion, Pain & Pleasure",Trey Songz,242013
ReYup (feat. Spodee),3 Live Krew,Travis Porter,135627
FTCU,Pink Friday 2,Nicki Minaj,9645
Back That Azz Up,400 Degreez,JUVENILE,265600
Wanna Be (with Megan Thee Stallion),Ehhthang Ehhthang,GloRilla,156444
Where Them Girls At,MEGAN,Megan Thee Stallion,154554
Where Them Girls At,MEGAN,Megan Thee Stallion,191711
Freaky Girls (feat. SZA),Good News,Megan Thee Stallion,166906
Spin (feat. Victoria Monét),MEGAN,Megan Thee Stallion,187794
Paper Together (feat. UGK),MEGAN,Megan Thee Stallion,215802
Captain Hook,Suga,Megan Thee Stallion,176749
Big Ole Freak,Tina Snow,Megan Thee Stallion,137084
Mamushi (feat. Yuki Chiba),MEGAN,Megan Thee Stallion,38475
Broke His Heart,MEGAN,Megan Thee Stallion,1532
Mamushi (feat. Yuki Chiba),MEGAN,Megan Thee Stallion,156988
B.A.S. (feat. Kyle Richh),MEGAN,Megan Thee Stallion,206461
Moody Girl,MEGAN,Megan Thee Stallion,167529
8,CRASH,Kehlani,150262
Losing You,Losing You,Solange,260399
Accent (feat. GloRilla),MEGAN,Megan Thee Stallion,12538
Baby Boy,"""Awaken, My Love!""",Childish Gambino,1820
Real Life,Submarine,The Marías,206972
Spin (feat. Victoria Monét),MEGAN,Megan Thee Stallion,187794
Sound of Rain,When I Get Home,Solange,185960
Get Lit (feat. Fat Tony),LIVE.LOVE.A$AP,A$AP Rocky,178706
Love/Paranoia,Currents,Tame Impala,185773
Zombies,"""Awaken, My Love!""",Childish Gambino,281813
//aguardiente y limón %ᵕ‿‿ᵕ%,Sin Miedo (del Amor y Otros Demonios) ∞,Kali Uchis,161539
New Flame (feat. Usher & Rick Ross),X (Expanded Edition),Chris Brown,244226
THANK GOD,UTOPIA,Travis Scott,184888
WASTING TIME (FEAT. DRAKE & THE NEPTUNES),WASTELAND,Brent Faiyaz,250040
Let Me Explain,Let Me Explain,Bryson Tiller,223969
Hit Different,Hit Different,SZA,202007
Guess,Candydrip,Lucky Daye,193173
RIP Young,The House Is Burning,Isaiah Rashad,158050
Coming Down,House Of Balloons,The Weeknd,295435
Make a Mil,PARTYNEXTDOOR,PARTYNEXTDOOR,171366
RoboCop,808s & Heartbreak,Kanye West,274360
Smoke (feat. Lucky Daye),Smoke (feat. Lucky Daye),Victoria Monét,186157
Bus In These Streets,Drunk,Thundercat,144196
Somthing's Missing,Ego Death,The Internet,379973
Crew (feat. Brent Faiyaz & Shy Glizzy),At What Cost,GoldLink,176702
Reachin' 2 Much (feat. Lalah Hathaway),Ventura,Anderson .Paak,355492
Shutcho,Scarlet,Doja Cat,187400
Still into You,Paramore,Paramore,216013
Good At,Tina Snow,Megan Thee Stallion,230646
SWEET ★ HONEY ★ BUCKIIN',COWBOY CARTER,Beyoncé,296185
Wanna Be (with Megan Thee Stallion),Ehhthang Ehhthang,GloRilla,156444
Video (feat. Ravyn Lenae),TIMELESS,KAYTRANADA,192017
Wavy (Interlude) (feat. James Fauntleroy),Ctrl,SZA,75800
Love Galore (feat. Travis Scott),Ctrl,SZA,275080
